,white,black,white_elo,black_elo,result,nmoves,nstarting_move,pgn_base,temperature,random_engine,has_illegal,illegal_move,folder_name,base_pgn_prompt
107,Stockfish,gpt-3.5-turbo-instruct,1785,?,*,81,1,0,0.0,False,True,1-0,games-repro/gamebc0b7901-0b02-4992-b2b8-973ba493428a,True
108,Stockfish,gpt-3.5-turbo-instruct,1871,?,0-1,54,1,0,0.0,False,False,,games-repro/gamebc29e499-bd9a-4a85-810a-a359554e7b0c,True
109,Stockfish,gpt-3.5-turbo-instruct,1871,?,*,63,1,0,0.8,False,True,1-0,games-repro/gamebd29cc4e-cd5d-459b-af0c-5a06ecbbaa66,True
110,Stockfish,gpt-3.5-turbo-instruct,1785,?,0-1,76,1,0,0.0,False,False,,games-repro/gamebef02541-95a0-4269-983e-11543e7948ea,True
111,Stockfish,gpt-3.5-turbo-instruct,1871,?,1-0,101,1,0,0.0,False,False,,games-repro/gamec0bbc109-5b91-4b95-86c5-c4d6d7f1266d,True
112,Stockfish,gpt-3.5-turbo-instruct,1785,?,0-1,64,1,0,0.0,False,False,,games-repro/gamec7e72f2d-b04c-4efb-b105-4ee0d3c51ef8,True
113,Stockfish,gpt-3.5-turbo-instruct,1871,?,1/2-1/2,130,1,0,0.0,False,False,,games-repro/gamec863bc5c-88fd-4f38-b956-0e8f4ea30a2e,True
114,Stockfish,gpt-3.5-turbo-instruct,1871,?,*,59,1,0,0.0,False,True,1-0,games-repro/gamec8687237-eba0-4e00-9567-f3ededbb0c1a,True
115,Stockfish,gpt-3.5-turbo-instruct,1871,?,*,49,1,0,0.8,False,True,1-,games-repro/gamecc149135-d136-4907-ba88-ba67b26ec892,True
116,Stockfish,gpt-3.5-turbo-instruct,1871,?,1-0,79,1,0,0.8,False,False,,games-repro/gamecc2a4e01-9ea2-4c0f-802b-8ec6da9a5728,True
117,Stockfish,gpt-3.5-turbo-instruct,1785,?,1-0,137,1,0,0.0,False,False,,games-repro/gameccd78c29-9d12-4ebe-9dac-cebc92ccb897,True
118,Stockfish,gpt-3.5-turbo-instruct,1785,?,*,97,1,0,0.0,False,True,1-0,games-repro/gamed187d1da-c52b-4ed7-bf22-0c30229f87d0,True
119,Stockfish,gpt-3.5-turbo-instruct,1871,?,*,45,1,0,0.8,False,True,1-0,games-repro/gamed6cf223b-3eaf-42c5-bece-bad715cb5ab3,True
120,Stockfish,gpt-3.5-turbo-instruct,1785,?,*,87,1,0,0.0,False,True,1-0,games-repro/gamed6e527fb-9a9d-4614-8ae8-77cfa9963ffd,True
121,Stockfish,gpt-3.5-turbo-instruct,1871,?,1-0,101,1,0,0.0,False,False,,games-repro/gamed708f819-9d54-4e85-8172-ce04b71968c0,True
122,Stockfish,gpt-3.5-turbo-instruct,1871,?,*,103,1,0,0.8,False,True,1-0,games-repro/gamed8a995fd-870f-4ffa-902f-f9e090aac6da,True
123,Stockfish,gpt-3.5-turbo-instruct,1785,?,*,51,1,0,0.0,False,True,1-0,games-repro/gamedaa33c57-f516-4203-a5df-da69b4ef5e2c,True
124,Stockfish,gpt-3.5-turbo-instruct,1785,?,1-0,65,1,0,0.8,False,False,,games-repro/gamedcc154e1-7555-4559-9074-3c0c327d43eb,True
125,Stockfish,gpt-3.5-turbo-instruct,1871,?,*,127,1,0,0.0,False,True,1-0,games-repro/gameddc1d9d2-1d00-4b8d-b57e-f7b9d97939f6,True
126,Stockfish,gpt-3.5-turbo-instruct,1785,?,0-1,124,1,0,0.0,False,False,,games-repro/gamedeb06c80-aeaa-4e83-95ef-a220b8615aef,True
127,Stockfish,gpt-3.5-turbo-instruct,1785,?,*,41,1,0,0.0,False,True,1-0,games-repro/gamee0c2e1c2-7f77-4e67-944a-de29893a02bc,True
128,Stockfish,gpt-3.5-turbo-instruct,1785,?,*,31,1,0,0.8,False,True,{The,games-repro/gamee2be5a97-a345-46ea-b003-fe62ebb3330c,True
129,Stockfish,gpt-3.5-turbo-instruct,1871,?,1-0,79,1,0,0.8,False,False,,games-repro/gamee3774df5-84af-4ac4-8d2f-5ab85fe24366,True
130,Stockfish,gpt-3.5-turbo-instruct,1871,?,*,87,1,0,0.8,False,True,1-0,games-repro/gamee54aaf13-0344-4da7-a21f-ec941dfd51af,True
131,Stockfish,gpt-3.5-turbo-instruct,1785,?,*,71,1,0,0.8,False,True,1-0,games-repro/gameea155a26-8d04-4179-b318-eb5a88a55550,True
132,Stockfish,gpt-3.5-turbo-instruct,1871,?,0-1,88,1,0,0.0,False,False,,games-repro/gameeee04bfe-4bb0-41b1-8caa-6577a6a383d3,True
133,Stockfish,gpt-3.5-turbo-instruct,1785,?,*,109,1,0,0.0,False,True,1-0,games-repro/gamef03e1c22-fdf0-412a-ad5b-31f85d20e980,True
134,Stockfish,gpt-3.5-turbo-instruct,1871,?,*,1,1,0,0.8,False,True,{This,games-repro/gamef0fc0dd7-c1ee-483f-b56c-8d359ae390e9,True
135,Stockfish,gpt-3.5-turbo-instruct,1785,?,1-0,153,1,0,0.0,False,False,,games-repro/gamef2485f89-ff1c-4929-8e4e-276215f339f6,True
136,Stockfish,gpt-3.5-turbo-instruct,1785,?,*,63,1,0,0.8,False,True,1-0,games-repro/gamef3cb8c93-c2a1-41fe-9801-6dee3ad07cc7,True
137,Stockfish,gpt-3.5-turbo-instruct,1785,?,1-0,55,1,0,0.8,False,False,,games-repro/gamef427d146-15c9-4221-967d-355af6418b07,True
138,Stockfish,gpt-3.5-turbo-instruct,1871,?,0-1,84,1,0,0.0,False,False,,games-repro/gamef55f758b-8057-4284-9efe-aa8548527774,True
139,Stockfish,gpt-3.5-turbo-instruct,1871,?,1-0,129,1,0,0.0,False,False,,games-repro/gamef81031f9-b056-4750-994a-f4761cceb3ce,True
140,Stockfish,gpt-3.5-turbo-instruct,1785,?,0-1,68,1,0,0.0,False,False,,games-repro/gamefb1351bd-067f-4d1f-81a3-c01ede397a40,True
141,Stockfish,gpt-3.5-turbo-instruct,1871,?,*,163,1,0,0.8,False,True,1-,games-repro/gamefb5ae820-ea09-48b3-957a-e6fad655fc53,True
